freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.239e+02,9.980e+01,3.714e+01,9.608e+02
1.6,5.553e+02,1.503e+02,1.735e+02,8.790e+02
3.2,1.345e+02,1.036e+02,1.844e+02,4.225e+02
4.9,7.449e+02,8.819e+01,1.606e+02,9.937e+02
6.5,2.098e+03,7.339e+01,1.560e+02,2.328e+03
8.1,3.325e+03,6.813e+01,1.525e+02,3.545e+03
9.7,4.806e+03,7.267e+01,1.504e+02,5.029e+03
11.4,6.896e+03,9.683e+01,1.524e+02,7.145e+03
13.0,8.378e+03,1.549e+02,1.464e+02,8.679e+03
14.6,8.821e+03,1.633e+02,1.525e+02,9.137e+03
16.2,1.047e+04,1.700e+02,1.567e+02,1.079e+04
17.8,1.252e+04,1.311e+02,1.525e+02,1.280e+04
19.5,1.531e+04,9.422e+01,1.404e+02,1.554e+04
21.1,1.839e+04,8.089e+01,1.504e+02,1.863e+04
22.7,2.210e+04,8.630e+01,1.527e+02,2.234e+04
24.3,2.634e+04,9.214e+01,1.652e+02,2.659e+04
26.0,3.234e+04,9.899e+01,2.174e+02,3.266e+04
27.6,3.743e+04,1.156e+02,4.692e+02,3.801e+04
29.2,3.436e+04,1.540e+02,4.851e+02,3.499e+04
30.8,3.878e+04,1.569e+02,2.194e+02,3.915e+04
32.4,4.743e+04,1.656e+02,1.592e+02,4.776e+04
34.1,5.586e+04,2.483e+02,1.508e+02,5.625e+04
35.7,6.604e+04,5.469e+02,1.421e+02,6.673e+04
37.3,7.533e+04,1.191e+03,1.493e+02,7.667e+04
38.9,7.199e+04,1.826e+03,1.525e+02,7.397e+04
40.6,6.432e+04,1.536e+03,1.488e+02,6.601e+04
42.2,7.084e+04,7.253e+02,1.601e+02,7.172e+04
43.8,8.184e+04,4.178e+02,1.716e+02,8.243e+04
45.4,9.239e+04,3.448e+02,1.806e+02,9.291e+04
47.0,1.025e+05,2.492e+02,1.798e+02,1.029e+05
48.7,1.145e+05,3.151e+02,1.577e+02,1.150e+05
50.3,1.278e+05,4.115e+02,1.407e+02,1.284e+05
51.9,1.443e+05,4.859e+02,1.435e+02,1.450e+05
53.5,1.639e+05,5.905e+02,1.557e+02,1.646e+05
55.2,1.854e+05,6.926e+02,1.520e+02,1.863e+05
56.8,2.101e+05,7.438e+02,1.620e+02,2.110e+05
58.4,2.424e+05,9.245e+02,1.554e+02,2.435e+05
60.0,2.843e+05,1.262e+03,1.468e+02,2.857e+05
61.6,3.349e+05,1.643e+03,1.567e+02,3.367e+05
63.3,4.017e+05,2.073e+03,1.942e+02,4.040e+05
64.9,5.032e+05,2.754e+03,3.245e+02,5.062e+05
66.5,6.669e+05,4.434e+03,8.350e+02,6.721e+05
68.1,7.545e+05,6.308e+03,2.625e+03,7.634e+05
69.7,5.175e+05,3.861e+03,5.226e+03,5.266e+05
71.4,3.308e+05,3.362e+03,5.283e+03,3.395e+05
73.0,3.625e+05,4.969e+03,3.843e+03,3.714e+05
74.6,5.129e+05,9.819e+03,3.246e+03,5.259e+05
76.2,7.103e+05,2.066e+04,3.066e+03,7.340e+05
77.9,9.935e+05,5.208e+04,3.726e+03,1.049e+06
79.5,1.328e+06,1.040e+05,4.880e+03,1.436e+06
81.1,1.563e+06,1.775e+05,6.649e+03,1.747e+06
82.7,1.328e+06,2.524e+05,7.781e+03,1.588e+06
84.3,9.509e+05,2.931e+05,7.604e+03,1.252e+06
86.0,7.772e+05,3.319e+05,6.486e+03,1.116e+06
87.6,8.493e+05,3.760e+05,3.590e+03,1.229e+06
89.2,1.133e+06,5.221e+05,4.227e+03,1.659e+06
