freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.960e+01,1.392e+03,4.761e+01,1.479e+03
1.6,1.576e+02,8.858e+02,2.179e+02,1.261e+03
3.3,1.281e+02,1.280e+02,2.184e+02,4.745e+02
4.9,1.113e+02,7.647e+02,1.818e+02,1.058e+03
6.5,1.054e+02,2.223e+03,1.701e+02,2.498e+03
8.1,9.935e+01,3.631e+03,1.631e+02,3.894e+03
9.8,1.018e+02,5.397e+03,1.677e+02,5.666e+03
11.4,2.141e+02,7.698e+03,1.751e+02,8.087e+03
13.0,5.907e+02,9.025e+03,2.035e+02,9.819e+03
14.6,8.011e+02,1.323e+04,2.360e+02,1.427e+04
16.3,6.658e+02,1.663e+04,2.384e+02,1.754e+04
17.9,3.237e+02,1.288e+04,1.860e+02,1.338e+04
19.5,1.438e+02,1.243e+04,1.808e+02,1.275e+04
21.1,1.016e+02,1.528e+04,1.800e+02,1.556e+04
22.8,8.753e+01,2.044e+04,1.622e+02,2.069e+04
24.4,8.130e+01,2.597e+04,1.523e+02,2.620e+04
26.0,9.795e+01,3.224e+04,1.592e+02,3.250e+04
27.7,2.297e+02,3.959e+04,2.725e+02,4.009e+04
29.3,4.138e+02,4.732e+04,4.347e+02,4.817e+04
30.9,2.373e+02,5.694e+04,2.993e+02,5.748e+04
32.5,1.402e+02,6.965e+04,2.316e+02,7.002e+04
34.2,1.126e+02,8.572e+04,2.376e+02,8.607e+04
35.8,1.014e+02,1.073e+05,2.501e+02,1.077e+05
37.4,1.082e+02,1.351e+05,2.626e+02,1.354e+05
39.0,1.294e+02,1.744e+05,2.784e+02,1.748e+05
40.7,1.540e+02,2.348e+05,3.888e+02,2.354e+05
42.3,2.478e+02,3.365e+05,9.912e+02,3.377e+05
43.9,3.267e+02,4.814e+05,1.991e+03,4.838e+05
45.5,5.747e+02,4.108e+05,2.433e+03,4.138e+05
47.2,9.851e+02,3.669e+05,2.216e+03,3.701e+05
48.8,1.459e+03,6.584e+05,1.518e+03,6.613e+05
50.4,3.071e+03,1.194e+06,1.244e+03,1.198e+06
52.1,6.162e+03,2.207e+06,2.057e+03,2.216e+06
53.7,1.102e+04,4.071e+06,1.208e+04,4.094e+06
55.3,2.439e+04,7.242e+06,3.190e+04,7.298e+06
56.9,3.226e+04,8.177e+06,4.053e+04,8.250e+06
58.6,3.098e+04,6.393e+06,3.310e+04,6.458e+06
60.2,2.383e+04,4.409e+06,2.195e+04,4.455e+06
61.8,1.422e+04,2.906e+06,1.387e+04,2.934e+06
63.4,7.886e+03,2.041e+06,9.871e+03,2.058e+06
65.1,3.872e+03,1.506e+06,7.358e+03,1.517e+06
66.7,1.396e+03,1.107e+06,5.505e+03,1.114e+06
68.3,1.739e+03,7.992e+05,4.304e+03,8.053e+05
69.9,1.070e+04,6.519e+05,5.255e+03,6.679e+05
71.6,1.893e+04,6.378e+05,5.733e+03,6.624e+05
73.2,9.471e+03,6.902e+05,3.949e+03,7.036e+05
74.8,5.371e+03,8.183e+05,4.596e+03,8.283e+05
76.4,6.408e+03,1.012e+06,5.397e+03,1.024e+06
78.1,6.006e+03,1.173e+06,5.529e+03,1.184e+06
79.7,2.594e+03,1.119e+06,4.236e+03,1.126e+06
81.3,2.756e+03,9.751e+05,2.925e+03,9.808e+05
83.0,7.936e+03,7.960e+05,2.589e+03,8.065e+05
84.6,1.067e+04,5.226e+05,4.409e+03,5.377e+05
86.2,1.045e+04,3.440e+05,8.095e+03,3.625e+05
87.8,1.110e+04,2.419e+05,1.278e+04,2.658e+05
89.5,1.292e+04,1.679e+05,2.048e+04,2.013e+05
91.1,1.362e+04,1.156e+05,2.967e+04,1.589e+05
92.7,1.525e+04,9.538e+04,2.446e+04,1.351e+05
94.3,1.863e+04,8.331e+04,1.771e+04,1.196e+05
96.0,1.850e+04,7.199e+04,2.215e+04,1.126e+05
97.6,1.774e+04,6.959e+04,2.974e+04,1.171e+05
99.2,2.016e+04,7.337e+04,4.935e+04,1.429e+05
100.8,2.619e+04,8.803e+04,1.075e+05,2.217e+05
102.5,2.720e+04,1.131e+05,1.188e+05,2.591e+05
104.1,2.313e+04,1.310e+05,5.710e+04,2.112e+05
105.7,2.142e+04,1.462e+05,2.618e+04,1.938e+05
107.4,2.438e+04,1.424e+05,1.725e+04,1.841e+05
109.0,3.540e+04,1.132e+05,1.651e+04,1.652e+05
110.6,4.187e+04,8.075e+04,1.703e+04,1.397e+05
112.2,4.236e+04,5.457e+04,1.324e+04,1.102e+05
113.9,3.769e+04,3.770e+04,8.333e+03,8.372e+04
