freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.061e+01,1.572e+03,4.533e+01,1.668e+03
1.6,1.625e+02,1.013e+03,2.121e+02,1.388e+03
3.2,1.380e+02,1.620e+02,2.162e+02,5.162e+02
4.9,1.111e+02,7.787e+02,1.778e+02,1.068e+03
6.5,9.505e+01,2.203e+03,1.607e+02,2.459e+03
8.1,9.735e+01,3.548e+03,1.663e+02,3.812e+03
9.7,1.048e+02,5.453e+03,1.654e+02,5.723e+03
11.4,2.380e+02,8.040e+03,1.582e+02,8.436e+03
13.0,6.109e+02,9.536e+03,1.567e+02,1.030e+04
14.6,8.399e+02,1.405e+04,1.627e+02,1.505e+04
16.2,6.707e+02,1.752e+04,1.569e+02,1.834e+04
17.9,3.389e+02,1.312e+04,1.716e+02,1.363e+04
19.5,1.843e+02,1.238e+04,1.608e+02,1.273e+04
21.1,1.325e+02,1.476e+04,1.508e+02,1.504e+04
22.7,1.109e+02,1.947e+04,1.538e+02,1.974e+04
24.4,1.016e+02,2.467e+04,1.596e+02,2.493e+04
26.0,1.041e+02,3.111e+04,1.626e+02,3.138e+04
27.6,2.229e+02,3.925e+04,1.840e+02,3.965e+04
29.2,4.716e+02,4.876e+04,2.656e+02,4.949e+04
30.9,4.249e+02,6.060e+04,2.375e+02,6.126e+04
32.5,4.273e+02,7.574e+04,2.191e+02,7.638e+04
34.1,5.688e+02,9.728e+04,2.074e+02,9.805e+04
35.7,1.297e+03,1.300e+05,2.220e+02,1.316e+05
37.4,3.376e+03,1.731e+05,2.439e+02,1.767e+05
39.0,5.670e+03,1.896e+05,2.447e+02,1.955e+05
40.6,4.147e+03,2.016e+05,2.410e+02,2.060e+05
42.2,2.554e+03,2.908e+05,2.567e+02,2.936e+05
43.8,2.388e+03,4.756e+05,6.871e+02,4.787e+05
45.5,1.166e+03,4.200e+05,2.293e+03,4.235e+05
47.1,5.195e+02,3.159e+05,2.606e+03,3.190e+05
48.7,1.517e+03,5.971e+05,2.047e+03,6.006e+05
50.3,4.032e+03,1.254e+06,2.233e+03,1.261e+06
52.0,1.347e+04,3.039e+06,3.903e+03,3.056e+06
53.6,4.680e+04,7.102e+06,1.643e+04,7.165e+06
55.2,8.882e+04,1.005e+07,3.054e+04,1.017e+07
56.8,9.216e+04,8.523e+06,2.856e+04,8.643e+06
58.5,7.864e+04,6.097e+06,2.041e+04,6.196e+06
60.1,5.704e+04,4.017e+06,1.282e+04,4.087e+06
61.7,3.775e+04,2.575e+06,7.748e+03,2.620e+06
63.3,2.656e+04,1.756e+06,5.184e+03,1.788e+06
65.0,2.023e+04,1.251e+06,3.789e+03,1.275e+06
66.6,1.803e+04,9.179e+05,2.813e+03,9.388e+05
68.2,1.880e+04,7.048e+05,2.386e+03,7.260e+05
69.8,1.208e+04,6.033e+05,3.234e+03,6.186e+05
71.5,8.178e+03,5.240e+05,3.111e+03,5.353e+05
73.1,1.088e+04,4.572e+05,9.664e+02,4.690e+05
74.7,9.251e+03,4.080e+05,4.944e+02,4.178e+05
76.3,7.603e+03,3.637e+05,5.377e+02,3.719e+05
78.0,7.298e+03,3.419e+05,6.144e+02,3.498e+05
79.6,7.802e+03,3.394e+05,8.119e+02,3.480e+05
81.2,7.854e+03,3.235e+05,8.710e+02,3.322e+05
82.8,7.852e+03,3.168e+05,1.019e+03,3.257e+05
84.4,8.296e+03,3.142e+05,1.500e+03,3.240e+05
86.1,9.548e+03,3.095e+05,2.771e+03,3.218e+05
87.7,1.115e+04,2.965e+05,5.051e+03,3.127e+05
89.3,1.251e+04,2.741e+05,6.155e+03,2.928e+05
90.9,1.262e+04,2.913e+05,4.383e+03,3.083e+05
92.6,8.609e+03,3.105e+05,1.682e+03,3.208e+05
94.2,4.599e+03,2.975e+05,5.302e+02,3.026e+05
95.8,2.478e+03,2.396e+05,3.180e+02,2.424e+05
97.4,2.510e+03,1.834e+05,3.016e+02,1.862e+05
99.1,4.485e+03,1.407e+05,2.769e+02,1.455e+05
100.7,6.658e+03,1.122e+05,2.337e+02,1.191e+05
102.3,8.520e+03,9.288e+04,2.101e+02,1.016e+05
103.9,1.239e+04,8.353e+04,2.576e+02,9.618e+04
105.6,1.686e+04,7.846e+04,5.179e+02,9.583e+04
107.2,1.875e+04,7.387e+04,5.903e+02,9.321e+04
108.8,1.819e+04,6.884e+04,6.127e+02,8.764e+04
110.4,1.907e+04,6.374e+04,1.160e+03,8.397e+04
112.1,2.008e+04,5.554e+04,1.836e+03,7.745e+04
113.7,1.931e+04,4.777e+04,3.472e+03,7.055e+04
115.3,2.182e+04,4.699e+04,5.296e+03,7.411e+04
116.9,2.922e+04,4.716e+04,5.247e+03,8.163e+04
118.5,4.892e+04,5.184e+04,5.713e+03,1.065e+05
120.2,9.508e+04,5.995e+04,8.696e+03,1.637e+05
121.8,1.656e+05,6.026e+04,1.354e+04,2.394e+05
123.4,2.237e+05,4.648e+04,1.832e+04,2.885e+05
125.0,2.285e+05,2.598e+04,2.128e+04,2.758e+05
126.7,2.009e+05,1.445e+04,2.454e+04,2.399e+05
128.3,1.836e+05,1.536e+04,3.062e+04,2.296e+05
129.9,1.355e+05,2.535e+04,3.081e+04,1.916e+05
131.5,7.027e+04,3.667e+04,2.334e+04,1.303e+05
133.2,1.585e+04,1.439e+04,6.672e+03,3.691e+04
134.8,1.141e+03,9.086e+02,5.438e+02,2.593e+03
136.4,9.995e+02,4.655e+02,3.332e+02,1.798e+03
138.0,2.920e+03,5.889e+02,2.577e+03,6.086e+03
139.7,5.943e+03,8.425e+02,6.437e+03,1.322e+04
141.3,1.926e+03,5.110e+02,1.651e+03,4.087e+03
142.9,6.526e+02,4.486e+02,2.381e+02,1.339e+03
144.5,5.272e+02,4.428e+02,2.212e+02,1.191e+03
146.2,5.322e+02,4.571e+02,1.934e+02,1.183e+03
147.8,5.314e+02,4.464e+02,1.927e+02,1.171e+03
149.4,4.984e+02,4.285e+02,2.126e+02,1.139e+03
151.0,4.767e+02,4.081e+02,1.995e+02,1.084e+03
152.7,4.607e+02,4.043e+02,1.949e+02,1.060e+03
154.3,3.983e+02,4.255e+02,1.857e+02,1.009e+03
155.9,2.801e+02,4.820e+02,2.842e+02,1.046e+03
157.5,2.656e+02,6.645e+02,5.804e+02,1.510e+03
159.1,4.639e+02,8.081e+02,4.891e+02,1.761e+03
160.8,5.060e+02,8.163e+02,8.919e+02,2.214e+03
162.4,1.228e+03,1.153e+03,1.636e+03,4.017e+03
164.0,2.298e+03,1.323e+03,2.543e+03,6.165e+03
165.6,2.466e+03,7.593e+02,3.238e+03,6.463e+03
167.3,1.746e+03,2.990e+02,2.624e+03,4.669e+03
168.9,1.001e+03,2.751e+02,1.505e+03,2.781e+03
170.5,5.344e+02,3.214e+02,7.458e+02,1.602e+03
172.1,3.342e+02,2.994e+02,5.856e+02,1.219e+03
