freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.482e+02,4.663e+01,6.380e+01,9.586e+02
1.6,5.539e+02,1.063e+02,1.733e+02,8.334e+02
3.3,1.233e+02,8.650e+01,1.634e+02,3.732e+02
4.9,7.679e+02,7.658e+01,1.471e+02,9.915e+02
6.5,2.233e+03,7.465e+01,1.483e+02,2.456e+03
8.2,3.651e+03,7.073e+01,1.542e+02,3.876e+03
9.8,5.350e+03,7.653e+01,1.431e+02,5.569e+03
11.5,6.890e+03,8.879e+01,1.479e+02,7.126e+03
13.1,8.315e+03,1.165e+02,1.633e+02,8.595e+03
14.7,9.835e+03,1.390e+02,1.743e+02,1.015e+04
16.4,1.164e+04,1.211e+02,1.774e+02,1.194e+04
18.0,1.431e+04,8.164e+01,1.650e+02,1.455e+04
19.6,1.767e+04,7.432e+01,1.501e+02,1.790e+04
21.3,2.186e+04,7.629e+01,1.602e+02,2.210e+04
22.9,2.643e+04,7.527e+01,1.835e+02,2.669e+04
24.6,3.166e+04,7.452e+01,1.860e+02,3.192e+04
26.2,3.835e+04,8.485e+01,2.025e+02,3.864e+04
27.8,4.579e+04,9.822e+01,2.594e+02,4.615e+04
29.5,5.188e+04,1.106e+02,3.523e+02,5.235e+04
31.1,5.420e+04,9.848e+01,3.481e+02,5.465e+04
32.7,5.798e+04,7.775e+01,2.587e+02,5.832e+04
34.4,6.512e+04,7.865e+01,2.091e+02,6.541e+04
36.0,7.450e+04,8.568e+01,1.795e+02,7.476e+04
37.6,8.517e+04,9.071e+01,1.639e+02,8.542e+04
39.3,9.705e+04,9.005e+01,1.579e+02,9.729e+04
40.9,1.096e+05,9.510e+01,1.605e+02,1.099e+05
42.6,1.249e+05,1.159e+02,1.727e+02,1.251e+05
44.2,1.430e+05,1.339e+02,2.245e+02,1.433e+05
45.8,1.627e+05,1.414e+02,3.608e+02,1.632e+05
47.5,1.815e+05,1.504e+02,3.581e+02,1.820e+05
49.1,2.056e+05,1.688e+02,2.433e+02,2.060e+05
50.7,2.333e+05,2.177e+02,2.192e+02,2.337e+05
52.4,2.669e+05,2.854e+02,2.069e+02,2.674e+05
54.0,3.029e+05,3.810e+02,2.404e+02,3.035e+05
55.6,3.517e+05,4.917e+02,3.261e+02,3.525e+05
57.3,4.086e+05,6.134e+02,3.878e+02,4.096e+05
58.9,4.789e+05,7.565e+02,3.966e+02,4.800e+05
60.6,5.646e+05,1.211e+03,4.547e+02,5.663e+05
62.2,6.733e+05,1.922e+03,6.896e+02,6.759e+05
63.8,8.176e+05,2.799e+03,9.872e+02,8.214e+05
65.5,1.026e+06,4.390e+03,1.517e+03,1.032e+06
67.1,1.327e+06,7.448e+03,2.522e+03,1.337e+06
68.7,1.731e+06,1.324e+04,4.559e+03,1.749e+06
70.4,2.176e+06,2.373e+04,9.563e+03,2.209e+06
72.0,2.447e+06,4.340e+04,1.803e+04,2.508e+06
73.7,2.473e+06,7.595e+04,2.300e+04,2.572e+06
75.3,2.459e+06,1.216e+05,2.118e+04,2.602e+06
76.9,2.287e+06,1.753e+05,1.637e+04,2.478e+06
78.6,2.148e+06,2.392e+05,1.655e+04,2.404e+06
80.2,1.960e+06,3.297e+05,3.161e+04,2.322e+06
81.8,1.856e+06,2.997e+05,9.420e+04,2.250e+06
83.5,1.655e+06,1.623e+05,1.628e+05,1.980e+06
85.1,1.318e+06,9.193e+04,1.859e+05,1.596e+06
86.7,1.254e+06,7.811e+04,2.458e+05,1.578e+06
88.4,1.466e+06,9.530e+04,3.631e+05,1.924e+06
90.0,1.722e+06,1.124e+05,4.371e+05,2.271e+06
91.7,1.817e+06,1.041e+05,3.917e+05,2.312e+06
93.3,1.784e+06,8.449e+04,2.955e+05,2.164e+06
94.9,1.617e+06,6.249e+04,2.084e+05,1.888e+06
96.6,1.373e+06,4.364e+04,1.471e+05,1.563e+06
98.2,1.171e+06,3.134e+04,1.069e+05,1.309e+06
99.8,9.302e+05,2.167e+04,7.682e+04,1.029e+06
101.5,6.056e+05,1.269e+04,5.362e+04,6.719e+05
103.1,4.231e+05,7.449e+03,3.941e+04,4.700e+05
104.8,3.674e+05,5.044e+03,3.191e+04,4.044e+05
106.4,5.911e+05,6.998e+03,2.961e+04,6.277e+05
108.0,8.082e+05,9.324e+03,2.744e+04,8.449e+05
109.7,5.901e+05,7.529e+03,2.177e+04,6.194e+05
111.3,3.509e+05,4.677e+03,1.787e+04,3.735e+05
112.9,3.251e+05,3.432e+03,1.637e+04,3.449e+05
114.6,5.681e+05,4.076e+03,1.728e+04,5.895e+05
116.2,8.097e+05,5.600e+03,1.558e+04,8.309e+05
117.8,8.379e+05,5.881e+03,1.311e+04,8.569e+05
119.5,8.574e+05,5.526e+03,1.175e+04,8.746e+05
121.1,8.808e+05,5.018e+03,1.092e+04,8.968e+05
122.8,8.983e+05,4.586e+03,1.018e+04,9.130e+05
124.4,9.130e+05,3.998e+03,9.439e+03,9.265e+05
126.0,8.797e+05,3.441e+03,8.225e+03,8.914e+05
