freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.760e+02,4.323e+01,6.153e+01,1.081e+03
1.6,6.923e+02,1.608e+02,2.325e+02,1.086e+03
3.2,1.838e+02,1.394e+02,2.154e+02,5.385e+02
4.9,7.637e+02,1.122e+02,1.857e+02,1.062e+03
6.5,2.059e+03,1.073e+02,1.699e+02,2.336e+03
8.1,3.298e+03,1.026e+02,1.634e+02,3.564e+03
9.7,4.913e+03,1.058e+02,1.673e+02,5.186e+03
11.3,6.891e+03,1.147e+02,1.715e+02,7.178e+03
13.0,8.718e+03,2.058e+02,1.755e+02,9.099e+03
14.6,9.262e+03,3.168e+02,1.804e+02,9.759e+03
16.2,1.074e+04,3.133e+02,1.660e+02,1.122e+04
17.8,1.304e+04,2.041e+02,1.858e+02,1.343e+04
19.4,1.608e+04,1.200e+02,1.839e+02,1.639e+04
21.0,1.962e+04,1.168e+02,1.625e+02,1.990e+04
22.7,2.355e+04,1.427e+02,1.461e+02,2.384e+04
24.3,2.784e+04,1.721e+02,1.733e+02,2.819e+04
25.9,3.353e+04,1.966e+02,2.397e+02,3.397e+04
27.5,3.998e+04,2.542e+02,5.709e+02,4.080e+04
29.1,3.893e+04,2.353e+02,7.435e+02,3.991e+04
30.8,4.222e+04,2.305e+02,3.159e+02,4.277e+04
32.4,4.963e+04,3.078e+02,1.824e+02,5.012e+04
34.0,5.658e+04,3.202e+02,1.740e+02,5.708e+04
35.6,6.368e+04,3.199e+02,1.633e+02,6.416e+04
37.2,7.181e+04,3.298e+02,1.646e+02,7.230e+04
38.9,8.120e+04,3.500e+02,1.553e+02,8.170e+04
40.5,9.128e+04,4.125e+02,1.662e+02,9.186e+04
42.1,1.023e+05,4.646e+02,3.021e+02,1.030e+05
43.7,1.125e+05,7.398e+02,4.744e+02,1.138e+05
45.3,1.250e+05,1.022e+03,2.852e+02,1.263e+05
46.9,1.397e+05,5.471e+02,2.030e+02,1.404e+05
48.6,1.578e+05,5.040e+02,1.567e+02,1.584e+05
50.2,1.783e+05,7.289e+02,1.579e+02,1.792e+05
51.8,2.023e+05,1.010e+03,1.610e+02,2.035e+05
53.4,2.294e+05,1.442e+03,1.732e+02,2.310e+05
55.0,2.593e+05,1.877e+03,2.063e+02,2.614e+05
56.7,2.962e+05,2.083e+03,1.832e+02,2.985e+05
58.3,3.407e+05,2.261e+03,1.564e+02,3.431e+05
59.9,3.971e+05,2.567e+03,1.852e+02,3.998e+05
61.5,4.726e+05,3.751e+03,2.399e+02,4.765e+05
63.1,5.819e+05,7.820e+03,3.793e+02,5.901e+05
64.8,7.564e+05,1.293e+04,8.014e+02,7.701e+05
66.4,1.107e+06,9.918e+03,3.137e+03,1.120e+06
68.0,1.437e+06,4.205e+03,1.011e+04,1.452e+06
69.6,1.014e+06,4.696e+03,1.287e+04,1.031e+06
71.2,4.982e+05,7.380e+03,9.702e+03,5.152e+05
72.8,5.250e+05,5.814e+03,5.900e+03,5.368e+05
74.5,8.839e+05,4.137e+03,3.479e+03,8.916e+05
76.1,1.408e+06,9.503e+03,2.397e+03,1.420e+06
77.7,2.270e+06,3.479e+04,2.841e+03,2.308e+06
79.3,3.685e+06,1.193e+05,6.718e+03,3.811e+06
80.9,4.948e+06,2.191e+05,1.289e+04,5.180e+06
82.6,4.913e+06,2.191e+05,2.405e+04,5.156e+06
84.2,4.193e+06,1.543e+05,6.065e+04,4.408e+06
85.8,3.283e+06,8.916e+04,1.217e+05,3.494e+06
87.4,2.413e+06,6.357e+04,1.851e+05,2.662e+06
89.0,2.068e+06,6.071e+04,2.500e+05,2.379e+06
90.7,2.046e+06,5.285e+04,1.904e+05,2.289e+06
92.3,1.643e+06,3.306e+04,7.063e+04,1.747e+06
93.9,1.192e+06,1.804e+04,4.260e+04,1.253e+06
95.5,8.736e+05,1.027e+04,6.677e+04,9.507e+05
97.1,7.017e+05,6.260e+03,1.699e+05,8.778e+05
98.7,8.565e+05,3.387e+03,3.517e+05,1.212e+06
100.4,1.126e+06,2.112e+03,3.940e+05,1.522e+06
