freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.515e+01,1.318e+02,3.040e+01,1.773e+02
1.6,8.204e+01,1.418e+02,1.495e+02,3.733e+02
3.3,8.453e+01,1.185e+02,1.691e+02,3.721e+02
4.9,7.726e+01,8.077e+02,1.571e+02,1.042e+03
6.5,7.605e+01,2.234e+03,1.366e+02,2.447e+03
8.2,7.987e+01,3.676e+03,1.487e+02,3.904e+03
9.8,1.347e+02,5.151e+03,1.611e+02,5.447e+03
11.5,2.149e+02,6.298e+03,1.691e+02,6.682e+03
13.1,3.039e+02,9.117e+03,1.976e+02,9.618e+03
14.7,3.971e+02,1.202e+04,2.418e+02,1.266e+04
16.4,3.168e+02,1.191e+04,2.128e+02,1.244e+04
18.0,1.572e+02,1.427e+04,1.856e+02,1.461e+04
19.6,9.942e+01,1.989e+04,1.757e+02,2.017e+04
21.3,8.609e+01,2.463e+04,1.630e+02,2.488e+04
22.9,7.731e+01,2.847e+04,1.644e+02,2.871e+04
24.6,7.080e+01,3.326e+04,1.676e+02,3.350e+04
26.2,7.248e+01,3.772e+04,1.632e+02,3.796e+04
27.8,7.040e+01,4.238e+04,1.569e+02,4.260e+04
29.5,1.090e+02,4.837e+04,2.212e+02,4.870e+04
31.1,1.925e+02,5.133e+04,3.283e+02,5.185e+04
32.7,1.981e+02,5.080e+04,2.986e+02,5.129e+04
34.4,1.443e+02,4.379e+04,2.513e+02,4.419e+04
36.0,9.615e+01,2.808e+04,1.873e+02,2.836e+04
37.6,7.334e+01,1.491e+04,1.862e+02,1.517e+04
39.3,8.051e+01,1.107e+04,1.820e+02,1.133e+04
40.9,8.047e+01,1.109e+04,1.727e+02,1.134e+04
42.6,8.300e+01,1.193e+04,1.659e+02,1.218e+04
44.2,8.535e+01,1.334e+04,1.816e+02,1.361e+04
45.8,9.519e+01,1.527e+04,1.866e+02,1.555e+04
47.5,9.684e+01,1.668e+04,2.053e+02,1.699e+04
49.1,9.333e+01,1.883e+04,2.194e+02,1.914e+04
50.7,9.468e+01,2.258e+04,2.146e+02,2.289e+04
52.4,9.519e+01,2.684e+04,2.044e+02,2.714e+04
54.0,1.157e+02,2.803e+04,2.234e+02,2.836e+04
55.7,1.374e+02,2.770e+04,2.687e+02,2.810e+04
57.3,1.569e+02,3.139e+04,2.867e+02,3.183e+04
58.9,1.693e+02,3.701e+04,3.567e+02,3.754e+04
60.6,1.725e+02,4.308e+04,4.663e+02,4.371e+04
62.2,1.763e+02,4.667e+04,5.483e+02,4.740e+04
63.8,1.826e+02,4.705e+04,5.657e+02,4.780e+04
65.5,1.889e+02,4.552e+04,6.065e+02,4.631e+04
67.1,2.001e+02,4.347e+04,6.670e+02,4.433e+04
68.7,2.263e+02,4.098e+04,7.742e+02,4.198e+04
70.4,2.312e+02,3.799e+04,9.698e+02,3.920e+04
72.0,2.112e+02,3.637e+04,1.022e+03,3.760e+04
73.7,2.303e+02,3.757e+04,9.711e+02,3.877e+04
75.3,3.242e+02,4.102e+04,1.050e+03,4.240e+04
76.9,4.614e+02,4.633e+04,1.394e+03,4.818e+04
78.6,6.433e+02,5.441e+04,2.379e+03,5.743e+04
80.2,9.142e+02,7.138e+04,4.859e+03,7.715e+04
81.8,1.088e+03,9.339e+04,1.035e+04,1.048e+05
83.5,1.131e+03,8.965e+04,1.879e+04,1.096e+05
85.1,1.168e+03,5.607e+04,2.309e+04,8.034e+04
86.8,1.173e+03,3.501e+04,2.548e+04,6.166e+04
88.4,1.068e+03,2.850e+04,2.934e+04,5.891e+04
90.0,7.777e+02,2.729e+04,2.932e+04,5.739e+04
91.7,5.262e+02,2.491e+04,2.198e+04,4.742e+04
93.3,3.706e+02,2.019e+04,1.424e+04,3.479e+04
94.9,2.638e+02,1.549e+04,8.624e+03,2.438e+04
96.6,1.917e+02,1.238e+04,5.721e+03,1.830e+04
98.2,1.732e+02,1.050e+04,4.473e+03,1.515e+04
99.8,1.748e+02,9.317e+03,3.675e+03,1.317e+04
101.5,1.704e+02,8.321e+03,2.738e+03,1.123e+04
103.1,2.000e+02,7.553e+03,2.048e+03,9.800e+03
104.8,2.448e+02,6.714e+03,1.685e+03,8.644e+03
106.4,3.180e+02,5.944e+03,1.486e+03,7.748e+03
108.0,4.180e+02,5.159e+03,1.349e+03,6.926e+03
109.7,4.446e+02,4.534e+03,1.185e+03,6.163e+03
111.3,5.305e+02,3.933e+03,1.144e+03,5.607e+03
112.9,6.984e+02,3.466e+03,1.092e+03,5.256e+03
114.6,9.102e+02,3.142e+03,1.116e+03,5.168e+03
116.2,1.090e+03,2.767e+03,1.145e+03,5.001e+03
117.8,1.236e+03,2.422e+03,1.085e+03,4.743e+03
119.5,1.605e+03,2.267e+03,1.091e+03,4.963e+03
