freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.289e+01,2.432e+03,5.108e+01,2.526e+03
1.6,1.337e+02,1.471e+03,2.114e+02,1.816e+03
3.2,1.153e+02,1.581e+02,2.101e+02,4.835e+02
4.9,1.014e+02,7.664e+02,1.812e+02,1.049e+03
6.5,9.796e+01,2.128e+03,1.647e+02,2.391e+03
8.1,8.819e+01,3.519e+03,1.739e+02,3.781e+03
9.7,8.487e+01,5.542e+03,1.769e+02,5.804e+03
11.3,1.783e+02,8.041e+03,1.692e+02,8.389e+03
13.0,6.076e+02,9.807e+03,1.849e+02,1.060e+04
14.6,1.009e+03,1.427e+04,2.144e+02,1.550e+04
16.2,7.893e+02,1.812e+04,2.264e+02,1.914e+04
17.8,3.049e+02,1.429e+04,2.000e+02,1.479e+04
19.4,1.229e+02,1.354e+04,1.698e+02,1.383e+04
21.1,8.938e+01,1.649e+04,1.593e+02,1.674e+04
22.7,8.964e+01,2.211e+04,1.500e+02,2.235e+04
24.3,1.109e+02,2.847e+04,1.513e+02,2.874e+04
25.9,1.603e+02,3.535e+04,1.766e+02,3.569e+04
27.5,3.576e+02,4.380e+04,3.046e+02,4.447e+04
29.2,4.346e+02,5.236e+04,4.497e+02,5.324e+04
30.8,1.672e+02,6.386e+04,2.714e+02,6.430e+04
32.4,1.052e+02,7.962e+04,1.896e+02,7.992e+04
34.0,1.057e+02,9.973e+04,1.754e+02,1.000e+05
35.6,1.187e+02,1.262e+05,1.781e+02,1.265e+05
37.3,1.308e+02,1.615e+05,1.749e+02,1.618e+05
38.9,1.460e+02,2.120e+05,2.043e+02,2.123e+05
40.5,1.694e+02,2.886e+05,2.579e+02,2.890e+05
42.1,2.397e+02,4.226e+05,8.188e+02,4.236e+05
43.7,4.823e+02,6.414e+05,2.519e+03,6.444e+05
45.4,7.989e+02,5.665e+05,3.458e+03,5.708e+05
47.0,1.057e+03,5.149e+05,2.448e+03,5.184e+05
48.6,1.665e+03,1.003e+06,1.553e+03,1.006e+06
50.2,4.150e+03,2.274e+06,1.673e+03,2.280e+06
51.8,1.132e+04,6.029e+06,8.772e+03,6.049e+06
53.5,2.549e+04,1.261e+07,3.345e+04,1.267e+07
55.1,4.521e+04,1.484e+07,4.759e+04,1.493e+07
56.7,5.556e+04,1.140e+07,4.321e+04,1.150e+07
58.3,5.173e+04,7.504e+06,3.205e+04,7.588e+06
59.9,4.171e+04,4.795e+06,2.062e+04,4.857e+06
61.6,3.229e+04,3.101e+06,1.294e+04,3.146e+06
63.2,2.470e+04,2.114e+06,8.792e+03,2.147e+06
64.8,1.925e+04,1.536e+06,6.458e+03,1.562e+06
66.4,1.321e+04,1.176e+06,4.916e+03,1.194e+06
68.0,1.378e+04,9.677e+05,5.486e+03,9.869e+05
69.7,3.302e+04,8.697e+05,8.116e+03,9.108e+05
71.3,4.138e+04,8.091e+05,7.055e+03,8.576e+05
72.9,1.423e+04,7.727e+05,3.204e+03,7.901e+05
74.5,4.004e+03,7.452e+05,2.104e+03,7.513e+05
76.1,4.997e+03,7.455e+05,1.889e+03,7.524e+05
77.8,8.274e+03,7.752e+05,1.669e+03,7.852e+05
79.4,1.340e+04,7.976e+05,1.801e+03,8.128e+05
81.0,1.867e+04,6.621e+05,3.009e+03,6.837e+05
82.6,1.990e+04,4.576e+05,7.739e+03,4.853e+05
84.2,1.961e+04,2.788e+05,1.805e+04,3.164e+05
85.9,1.909e+04,1.563e+05,2.954e+04,2.050e+05
87.5,1.899e+04,1.122e+05,4.319e+04,1.744e+05
89.1,1.936e+04,9.050e+04,7.074e+04,1.806e+05
90.7,1.546e+04,7.540e+04,8.194e+04,1.728e+05
92.3,1.529e+04,7.271e+04,4.730e+04,1.353e+05
94.0,1.927e+04,7.107e+04,3.239e+04,1.227e+05
95.6,2.521e+04,6.829e+04,4.427e+04,1.378e+05
97.2,3.122e+04,6.447e+04,6.443e+04,1.601e+05
98.8,3.499e+04,6.200e+04,9.873e+04,1.957e+05
100.4,2.780e+04,6.146e+04,1.152e+05,2.045e+05
102.1,2.079e+04,6.098e+04,8.705e+04,1.688e+05
103.7,2.485e+04,6.198e+04,6.745e+04,1.543e+05
105.3,3.153e+04,6.245e+04,5.920e+04,1.532e+05
106.9,4.375e+04,6.266e+04,4.983e+04,1.562e+05
108.5,4.610e+04,5.950e+04,4.264e+04,1.482e+05
110.2,3.141e+04,5.375e+04,3.787e+04,1.230e+05
111.8,2.312e+04,4.697e+04,3.320e+04,1.033e+05
113.4,2.680e+04,4.549e+04,2.811e+04,1.004e+05
115.0,3.339e+04,5.161e+04,2.284e+04,1.078e+05
116.6,3.345e+04,5.420e+04,1.653e+04,1.042e+05
118.3,2.959e+04,5.465e+04,1.047e+04,9.471e+04
119.9,2.446e+04,5.561e+04,6.266e+03,8.634e+04
121.5,1.885e+04,5.625e+04,3.933e+03,7.903e+04
123.1,1.367e+04,5.660e+04,2.394e+03,7.266e+04
124.7,9.897e+03,5.678e+04,1.463e+03,6.814e+04
126.4,7.365e+03,5.520e+04,9.959e+02,6.356e+04
128.0,5.775e+03,5.457e+04,7.442e+02,6.109e+04
129.6,4.595e+03,5.490e+04,6.551e+02,6.015e+04
131.2,3.662e+03,5.144e+04,5.395e+02,5.564e+04
132.8,1.958e+03,2.260e+04,3.274e+02,2.488e+04
134.5,8.455e+02,2.118e+03,1.866e+02,3.151e+03
136.1,6.348e+02,9.553e+02,1.816e+02,1.772e+03
137.7,6.092e+02,1.048e+03,1.884e+02,1.846e+03
139.3,1.078e+03,1.202e+03,2.347e+02,2.514e+03
140.9,7.596e+02,1.179e+03,2.190e+02,2.158e+03
142.6,4.059e+02,1.218e+03,1.912e+02,1.815e+03
144.2,3.868e+02,1.266e+03,2.119e+02,1.865e+03
145.8,4.226e+02,1.389e+03,1.937e+02,2.005e+03
147.4,4.247e+02,1.526e+03,1.750e+02,2.126e+03
149.0,4.150e+02,1.612e+03,1.828e+02,2.209e+03
150.7,4.209e+02,1.725e+03,1.922e+02,2.338e+03
152.3,3.938e+02,1.942e+03,1.770e+02,2.512e+03
153.9,4.002e+02,2.098e+03,1.735e+02,2.672e+03
155.5,4.789e+02,2.180e+03,1.700e+02,2.829e+03
157.1,5.402e+02,2.046e+03,1.680e+02,2.755e+03
158.8,6.959e+02,1.937e+03,1.912e+02,2.824e+03
160.4,6.917e+02,2.017e+03,3.042e+02,3.013e+03
162.0,7.152e+02,1.880e+03,3.977e+02,2.993e+03
163.6,6.446e+02,1.414e+03,3.833e+02,2.442e+03
165.2,4.585e+02,1.295e+03,3.482e+02,2.102e+03
166.9,3.811e+02,1.404e+03,3.145e+02,2.100e+03
168.5,3.933e+02,1.541e+03,2.837e+02,2.218e+03
170.1,3.972e+02,1.505e+03,2.459e+02,2.148e+03
171.7,3.645e+02,1.405e+03,1.943e+02,1.963e+03
173.3,3.957e+02,1.310e+03,1.703e+02,1.876e+03
175.0,3.703e+02,1.283e+03,1.541e+02,1.808e+03
176.6,3.496e+02,1.203e+03,1.559e+02,1.709e+03
178.2,3.646e+02,1.056e+03,1.574e+02,1.578e+03
179.8,3.430e+02,1.017e+03,1.555e+02,1.516e+03
181.4,3.388e+02,1.041e+03,1.562e+02,1.536e+03
183.1,3.483e+02,1.109e+03,1.579e+02,1.615e+03
184.7,3.096e+02,1.122e+03,1.513e+02,1.583e+03
186.3,2.704e+02,1.094e+03,1.574e+02,1.522e+03
187.9,2.360e+02,1.105e+03,1.524e+02,1.493e+03
189.5,2.407e+02,1.325e+03,1.645e+02,1.730e+03
191.2,2.513e+02,1.544e+03,1.740e+02,1.969e+03
192.8,2.591e+02,1.490e+03,1.753e+02,1.924e+03
194.4,2.337e+02,1.464e+03,1.701e+02,1.868e+03
196.0,2.497e+02,1.493e+03,1.650e+02,1.908e+03
197.6,2.604e+02,1.695e+03,1.562e+02,2.111e+03
199.3,2.763e+02,1.903e+03,1.843e+02,2.363e+03
